NT333,Spire Washington Hospital,,,,,,"4,630","4,630","2,155","2,475",0,0,"4,630",0,0,54,39,2,2,55,0,0,0,0,0,0,0,*,15,95,155,235,335,330,490,560,540,520,485,440,250,125,45,*,"3,585","1,970",0,0,0,,,
NT313,Spire Wellesley Hospital,,,,,,"5,285","5,285","2,045","3,245",0,0,"5,285",0,0,74,46,2,3,61,0,0,0,0,0,0,0,*,*,50,75,95,180,205,460,620,605,625,660,750,505,265,155,30,"4,650","1,585",0,0,0,,,
NT338,Spire Yale Hospital,,,,,,*,*,0,*,0,0,*,0,0,52,52,1,1,38,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,*,0,0,0,0,0,0,0,0,*,*,0,0,0,,,
NVC18,Springfield Hospital,,,,,,"6,555","6,555","3,195","3,355",0,0,"6,555",0,0,75,15,2,2,59,0,0,0,0,0,0,0,10,30,170,230,265,300,365,515,510,610,620,750,880,635,415,195,45,"5,240","3,065",0,0,0,,,
NQ713,St Bartholomew's Hospital (Rochester),,,,,,30,30,10,25,0,*,0,0,30,,,21,17,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,*,*,*,*,*,*,*,0,640,0,0,0,,,
RJ7,St George's University Hospitals NHS Foundation Trust,,,,,,"172,540","135,455","83,490","89,040",10,"56,295","45,945","16,545","16,675",119,25,4,1,49,"8,450","6,655","4,355","3,595",770,745,805,810,930,"6,090","9,140","10,345","9,815","7,595","8,130","9,985","14,110","9,865","11,405","12,025","11,470","10,225","8,230","5,480","46,530","353,740","19,840","2,775","5,000",,,
RBN,St Helens and Knowsley Hospital Services NHS Trust,,,,,,"166,740","126,415","73,755","92,985",0,"57,395","46,745","6,420","15,850",41,21,3,1,55,"6,310","2,275","1,085",960,235,550,710,880,"1,135","6,435","9,415","9,335","7,225","6,375","7,995","9,900","13,165","10,860","11,775","14,570","14,230","14,765","10,460","5,800","46,205","260,995","24,325","1,200","7,955",,,
NTE02,St Hugh's Hospital,,,,,,"4,760","4,760","2,080","2,670",*,0,"4,750",0,10,72,53,2,2,62,0,0,0,0,0,0,0,10,15,75,100,130,160,215,345,465,440,510,505,690,565,345,155,40,"3,875","1,885",0,0,*,,,
NQT5K,St Martins Hospital,,,,,,315,315,140,170,0,*,0,0,310,,,26,22,81,0,0,0,0,0,0,0,0,0,*,0,0,0,*,*,*,*,10,15,25,40,55,85,70,0,"8,100",0,0,0,,,
NTPAD,St Mary's NHS Treatment Centre,,,,,,"10,405","8,870","5,030","5,375",0,0,"8,870",0,0,32,30,,,59,0,0,0,0,0,0,0,30,40,325,345,430,580,605,755,890,955,875,"1,000","1,200",995,835,410,130,"10,405",0,0,0,0,,,
RWJ,Stockport NHS Foundation Trust,,,,,,"102,425","88,870","46,125","56,300",*,"42,175","29,325","8,925","8,450",42,29,4,1,55,"5,170","2,605","1,465","1,465",375,300,435,490,540,"3,075","4,530","5,235","4,355","3,620","4,720","5,280","6,025","6,065","7,290","9,370","9,165","9,085","7,060","4,415","31,715","234,325","17,150",960,"1,635",,,
RXX,Surrey and Borders Partnership NHS Foundation Trust,,,,,,"3,030","2,755","1,715","1,315",*,"1,255",650,0,850,,,28,4,37,0,0,0,*,0,*,*,165,205,705,325,270,295,165,180,150,95,115,80,90,70,50,40,15,0,"77,105",40,10,115,,,
RTP,Surrey and Sussex Healthcare NHS Trust,,,,,,"155,340","93,790","70,770","84,565",*,"38,800","37,630","6,835","10,525",49,34,4,2,58,"9,645","1,935","1,440","1,310",355,365,525,680,745,"3,960","5,575","6,540","6,310","5,270","6,700","7,575","10,165","9,200","10,650","13,990","13,650","15,160","13,470","9,610","40,920","264,315","10,165",600,"1,305",,,
RDR,Sussex Community NHS Foundation Trust,,,,,,"4,340","4,340","1,710","2,630",0,"2,145",*,"1,095","1,100",,,25,20,83,0,0,0,0,0,0,0,0,0,*,*,*,10,10,15,35,60,90,140,345,510,835,"1,130","1,160",0,"108,915",10,*,*,,,
AJX01,Sussex Msk Partnership 2 Ltd,,,,,,"3,385","3,365","1,295","2,095",0,0,"1,750","1,610",0,68,55,4,2,61,0,0,0,0,0,10,10,15,15,45,90,65,145,145,230,335,325,325,430,450,370,220,130,35,"2,575","2,975",0,70,0,,,
RX2,Sussex Partnership NHS Foundation Trust,,,,,,"3,560","2,810","1,745","1,805",10,"1,610",215,765,215,,,68,13,45,0,0,0,*,*,15,30,50,70,355,405,395,300,270,310,285,260,165,155,170,130,100,60,35,0,"186,985",*,*,0,,,
NXP09,Syston Health Centre,,,,,,120,120,30,90,0,0,120,0,0,,,,,58,0,0,0,0,0,0,0,0,0,0,*,*,10,10,15,10,10,10,10,15,10,*,*,*,120,0,0,0,0,,,
RMP,Tameside and Glossop Integrated Care NHS Foundation Trust,,,,,,"63,990","50,595","27,885","36,100",*,"25,690","16,120","3,410","5,375",50,33,4,1,52,"4,265","2,035",995,770,225,180,245,315,370,"2,125","3,080","3,125","2,800","2,400","3,120","3,790","3,870","3,810","4,410","5,485","5,160","4,950","3,900","2,410","17,105","142,210","8,330",120,760,,,
RBA,Taunton and Somerset NHS Foundation Trust,,,,,,"120,550","100,165","54,530","66,025",*,"42,090","29,085","20,155","8,830",67,36,4,1,57,"4,415","2,270","1,580","1,425",425,380,460,545,590,"3,910","5,310","5,275","4,180","3,630","4,970","6,145","9,720","7,620","10,100","12,135","11,335","10,110","7,780","5,250","41,410","206,575","13,690","2,655","4,110",,,
NR525,Tavistock Hospital,,,,,,235,235,85,150,0,10,65,0,160,26,1,19,17,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,10,*,30,25,55,55,50,0,"4,405",*,0,*,,,
NVC0R,Tees Valley Hospital,,,,,,"7,025","7,025","3,270","3,755",*,0,"7,025",0,0,29,18,2,2,54,0,0,0,0,0,0,0,30,45,270,430,420,485,485,630,740,775,670,620,595,390,260,135,35,"6,855",345,0,0,0,,,
NVC35,Tees Valley Treatment Centre,,,,,,365,365,155,210,0,0,365,0,0,290,168,2,2,55,0,0,0,0,0,0,0,0,*,10,15,25,15,40,35,35,35,35,35,40,20,20,*,*,355,20,0,0,0,,,
RX3,"Tees, Esk and Wear Valleys NHS Foundation Trust",,,,,,"8,440","6,430","4,860","3,540",40,"3,385",875,"1,955",210,,,43,8,38,0,25,450,675,185,145,100,150,145,815,795,770,715,560,495,490,385,295,270,335,240,205,125,70,*,"267,170",35,105,*,,,
AAH01,Tetbury Hospital Trust,,,,,,"1,130","1,130",490,640,0,0,"1,120",10,0,52,46,8,0,66,0,0,0,0,0,0,0,0,*,25,30,25,30,45,50,70,65,75,105,155,165,160,75,45,"1,085",370,0,45,0,,,
NVC02,The Berkshire Independent Hospital,,,,,,"2,435","2,435","1,110","1,325",0,0,"2,435",0,0,53,23,2,2,58,0,0,0,0,0,0,0,*,10,80,85,105,105,140,190,215,260,235,235,305,200,175,65,20,"2,055",845,0,0,0,,,
RBV,The Christie NHS Foundation Trust,,,,,,"22,815","22,555","11,315","11,480",20,"5,825","12,680","3,920",130,16,10,5,2,59,0,175,205,10,*,65,85,60,125,515,475,745,675,760,"1,340","1,990","2,665","2,860","3,275","3,225","1,875",905,320,110,"12,370","55,825","1,620",380,30,,,
REN,The Clatterbridge Cancer Centre NHS Foundation Trust,,,,,,"7,935","7,920","4,300","3,640",0,"1,695","4,125","2,080",25,13,10,7,2,62,0,0,0,0,0,0,0,40,35,180,180,215,180,245,420,590,805,"1,035","1,290","1,190",750,565,190,20,"4,480","23,865",295,685,*,,,
NTPAE,The Croft Shifa Health Centre,,,,,,"1,820","1,385",780,"1,040",0,0,"1,385",0,0,265,85,,,73,0,0,0,0,0,0,0,0,*,*,*,*,*,15,30,40,100,145,220,355,375,315,180,45,"1,820",0,0,0,0,,,
RNA,The Dudley Group NHS Foundation Trust,,,,,,"123,060","106,995","51,370","71,690",0,"36,860","41,640","9,265","19,230",82,43,4,1,55,"5,490","1,575","1,035","1,020",245,270,450,570,690,"5,720","8,095","7,130","5,045","3,730","5,330","6,395","6,710","7,390","8,620","10,650","11,275","11,270","8,505","5,325","45,365","233,890","8,810","1,070","10,910",,,
RAS,The Hillingdon Hospitals NHS Foundation Trust,,,,,,"69,825","64,270","29,115","40,705",*,"24,805","21,420","6,130","11,910",78,41,4,1,49,"5,800","2,260","1,355","1,190",275,160,185,275,325,"2,455","3,795","4,750","3,920","2,805","3,095","3,680","4,020","3,830","4,125","5,015","4,845","4,990","3,810","2,450","24,225","166,195","6,085",400,"3,225",,,
NXM01,The Horder Centre - St Johns Road,,,,,,"4,395","4,395","1,860","2,535",0,*,"4,390",0,*,,,2,2,64,0,0,0,0,0,0,0,*,*,50,75,80,105,145,250,310,425,430,625,805,590,320,145,35,"2,200","5,345",0,125,0,,,
DX101,The New Foscote Hospital (Foscote Hospital),,,,,,25,25,15,10,0,0,25,0,0,45,49,2,2,52,0,0,0,0,0,0,0,0,0,*,*,*,*,0,*,*,*,*,*,*,*,0,0,0,25,*,0,0,0,,,
RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,,,,,,"259,930","223,055","125,130","134,785",15,"57,010","97,310","50,510","18,230",63,40,5,2,50,"11,370","10,205","8,635","7,335","1,460","1,375","1,285","1,515","1,800","9,275","10,730","11,495","11,150","9,385","12,195","15,105","17,675","19,425","21,505","23,365","18,505","16,505","10,350","5,880","120,720","510,930","13,430","3,300","2,255",,,
RQW,The Princess Alexandra Hospital NHS Trust,,,,,,"86,655","78,415","34,005","52,650",*,"34,175","19,160","8,490","16,595",55,36,3,1,52,"5,090","1,315",825,780,180,265,295,450,535,"3,880","6,285","6,850","4,865","3,325","3,530","4,480","4,635","4,670","5,320","6,795","6,110","6,665","5,455","3,515","23,710","167,145","15,455","1,345","8,735",,,
RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",,,,,,"106,045","88,700","46,225","59,820",*,"35,450","29,240","15,765","8,245",56,31,3,1,59,"4,145","1,690","1,010",850,230,265,335,420,515,"3,655","4,655","4,115","3,205","3,125","3,925","5,315","6,085","6,870","8,495","12,060","11,140","10,545","8,335","4,885","40,090","160,555","13,810","2,070","3,650",,,
RL1,The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,,,,,,"14,950","14,265","7,205","7,745",*,235,"12,015","1,645",365,80,61,6,3,56,35,95,185,430,130,75,80,80,65,435,470,440,500,650,915,"1,340","1,405","1,395","1,715","1,870","1,385",770,345,110,"6,075","47,910",10,720,*,,,
RFR,The Rotherham NHS Foundation Trust,,,,,,"79,045","64,575","34,990","44,050",*,"25,125","24,975","8,300","6,175",46,28,4,2,56,"3,240",780,"1,080",555,135,215,275,385,490,"2,990","4,130","3,740","3,335","2,880","3,700","4,415","4,850","5,270","5,970","7,720","7,000","6,990","5,460","3,210","27,800","155,680","4,055",865,"1,055",,,
RDZ,The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,,,,,,"131,250","106,140","64,950","66,305",*,"38,695","40,265","25,955","1,225",55,38,4,1,65,390,30,20,25,10,190,260,415,550,"3,135","3,435","3,790","4,030","4,425","6,015","7,265","10,050","9,140","11,815","15,720","15,145","14,735","12,000","8,325","55,825","192,430","14,420","2,410",505,,,
RPY,The Royal Marsden NHS Foundation Trust,,,,,,"23,355","23,355","11,760","11,595",0,"3,145","11,745","8,430",40,14,10,6,2,55,0,850,670,390,65,90,65,50,70,450,425,590,760,995,"1,590","2,010","2,495","2,735","2,885","2,960","1,780","1,000",310,70,"13,485","62,525",400,760,0,,,
RRJ,The Royal Orthopaedic Hospital NHS Foundation Trust,,,,,,"14,300","14,300","6,495","7,805",0,315,"11,910","2,005",70,,,4,2,52,0,65,200,600,180,205,190,165,135,530,555,545,595,630,955,"1,135","1,315","1,335","1,335","1,450","1,180",655,245,65,"7,550","29,520",15,760,*,,,
RL4,The Royal Wolverhampton NHS Trust,,,,,,"148,850","131,055","65,715","83,085",55,"45,495","38,185","30,755","16,620",59,39,4,1,54,"7,795","3,170","2,050","1,665",475,485,560,625,710,"5,380","7,215","6,935","6,000","5,095","7,095","8,605","10,095","10,760","12,775","14,180","13,710","10,860","7,440","4,440","61,470","299,715","14,460",660,"6,700",,,
NN801,The Spencer Wing (Ramsgate Road),,,,,,"2,020","2,020",880,"1,140",0,0,*,"2,015",0,123,123,2,2,56,0,0,0,0,0,0,0,0,10,55,75,100,110,135,180,215,215,205,210,225,145,90,30,10,"1,290","1,395",0,*,0,,,
NN802,The Spencer Wing (William Harvey Hospital),,,,,,235,235,85,145,0,0,0,235,0,,,1,1,56,0,0,0,0,0,0,0,0,0,10,*,10,10,20,20,30,20,25,25,30,20,*,*,0,190,55,0,*,0,,,
NT255,The Vale Hospital,,,,,,10,10,*,*,0,0,10,0,0,24,16,3,3,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,*,*,*,0,0,*,0,*,10,0,0,0,,,
RET,The Walton Centre NHS Foundation Trust,,,,,,"11,305","10,625","4,835","6,465",*,"1,730","5,555","3,315",25,52,38,11,3,52,0,0,0,0,0,20,20,35,50,425,595,690,890,955,"1,310","1,335","1,310","1,030",905,945,415,230,85,35,"5,665","53,720",80,210,*,,,
NVC44,The Westbourne Centre,,,,,,"2,080","2,080",870,"1,215",0,0,"2,080",0,0,57,34,8,4,55,0,0,0,0,0,0,0,0,*,145,165,165,145,105,130,135,140,145,175,195,210,145,55,25,"2,080",25,0,0,0,,,
NVC20,The Yorkshire Clinic,,,,,,"14,420","14,420","6,630","7,790",0,0,"14,420",0,0,167,35,2,2,57,0,0,0,0,0,0,0,25,55,410,590,755,915,950,"1,185","1,220","1,310","1,305","1,440","1,545","1,285",895,415,95,"12,860","3,290",0,*,0,,,
NLX22,Thornbury Hospital,,,,,,180,180,85,95,0,10,0,0,165,,,41,34,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,10,10,15,15,40,50,35,0,"7,145",0,0,0,,,
RA9,Torbay and South Devon NHS Foundation Trust,,,,,,"109,280","81,800","49,370","59,910",*,"37,100","26,760","12,465","5,470",63,32,3,1,59,"3,285","1,670","1,190","1,055",250,245,340,410,565,"3,465","4,080","3,950","3,390","3,065","4,285","5,670","8,425","7,330","8,740","11,335","11,440","10,180","8,430","6,290","35,885","169,015","13,670",555,"1,350",,,
NN501,Trafford General Hospital,,,,,,830,830,430,400,0,0,830,0,0,62,59,3,3,53,0,0,0,0,0,0,0,*,10,30,45,50,60,60,75,75,85,85,75,85,45,30,10,*,770,195,0,0,0,,,
NN401,Tyneside Surgical Services,,,,,,"1,855","1,855",790,"1,060",0,0,"1,855",0,0,58,49,2,1,52,0,0,0,0,0,0,0,*,10,75,85,120,155,165,195,205,200,160,155,145,100,50,15,*,"1,680",390,0,0,0,,,
RWD,United Lincolnshire Hospitals NHS Trust,,,,,,"174,880","149,130","80,160","94,620",100,"58,485","51,710","26,105","12,825",63,37,4,2,58,"7,615","3,155","1,730","1,465",345,395,540,720,865,"5,355","6,450","6,175","5,355","4,905","6,730","9,235","13,515","12,355","16,005","20,175","17,705","14,570","10,930","6,705","69,300","355,465","14,325","1,415","3,505",,,
RRV,University College London Hospitals NHS Foundation Trust,,,,,,"186,780","170,155","86,630","99,765",385,"32,875","58,325","63,555","15,400",47,30,5,2,47,"11,555","1,975","2,450","2,555",980,"1,205","1,345","1,340","1,595","8,595","10,105","12,345","12,555","9,900","11,005","13,180","14,990","14,640","14,015","13,475","9,650","7,190","4,255","2,460","99,515","320,520","12,185","2,725","1,340",,,
RHM,University Hospital Southampton NHS Foundation Trust,,,,,,"204,630","159,925","98,905","105,705",20,"62,525","49,180","33,680","14,540",64,36,5,1,52,"10,960","6,675","4,515","4,390","1,110","1,075","1,285","1,055","1,405","7,120","8,830","9,415","8,330","6,930","9,025","10,580","14,490","13,675","15,985","19,260","16,445","14,085","10,280","6,475","64,715","457,475","22,025","2,595","1,815",,,
RRK-X,University Hospitals Birmingham NHS Foundation Trust,,,,,,"476,805","393,575","219,670","257,125",10,"187,095","110,935","64,010","31,535",59,34,4,1,56,"13,895","6,330","3,295","2,995",750,"1,475","2,145","2,825","3,330","19,300","23,535","24,050","22,220","19,400","24,805","28,985","35,120","33,215","35,470","43,120","40,310","39,105","29,930","19,875","118,810","989,535","72,265","32,745","10,215",,,
RA7,University Hospitals Bristol NHS Foundation Trust,,,,,,"169,420","146,030","77,735","91,630",50,"47,845","49,920","27,885","20,380",62,35,4,1,47,"10,235","8,325","6,140","4,960","1,190",775,775,960,"1,120","6,515","8,410","9,775","8,135","5,720","6,480","8,090","9,355","10,430","10,940","13,300","11,835","9,785","6,895","4,020","63,250","304,365","16,660","2,750","8,410",,,
RKB,University Hospitals Coventry and Warwickshire NHS Trust,,,,,,"205,990","176,575","92,035","113,950",*,"63,140","64,000","27,275","22,160",59,32,4,1,52,"10,110","5,170","3,150","3,140",845,765,790,"1,035","1,235","7,710","10,530","11,115","9,085","7,750","9,580","12,165","15,310","13,695","15,600","17,925","16,130","13,355","9,750","6,905","77,550","404,255","20,415","2,455","8,965",,,
RTG,University Hospitals of Derby and Burton NHS Foundation Trust,,,,,,"309,935","237,985","136,745","173,190",*,"84,730","76,555","46,980","29,725",26,17,4,1,56,"13,885","4,585","3,365","2,780",670,790,930,"1,305","1,585","10,775","14,725","14,565","12,490","10,250","13,825","17,515","22,605","20,820","23,690","31,040","27,760","25,915","19,615","13,455","107,120","537,615","19,240","2,010","11,425",,,
RWE,University Hospitals of Leicester NHS Trust,,,,,,"332,520","271,830","151,730","180,780",10,"99,580","89,565","46,115","36,570",62,34,4,1,54,"13,970","7,310","4,175","3,810",900,960,"1,175","1,600","2,205","13,670","17,535","18,020","15,035","11,950","14,960","17,885","26,650","22,380","25,845","29,915","27,650","25,145","17,870","10,625","114,815","570,570","30,985","3,280","15,720",,,
RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,,,,,,"112,595","94,170","52,655","59,940",0,"38,835","35,330","12,395","7,610",62,36,4,1,57,"5,095","2,610","1,330","1,385",365,330,415,505,555,"3,180","4,020","4,100","3,555","3,220","4,665","5,840","8,245","7,550","9,395","12,535","11,395","10,380","7,015","4,650","42,095","235,355","13,160",*,"1,220",,,
RJE,University Hospitals of North Midlands NHS Trust,,,,,,"301,765","239,190","135,705","166,045",20,"102,650","64,045","44,190","28,305",47,27,3,1,55,"12,770","5,870","3,590","3,075",790,740,"1,040","1,430","1,755","11,730","15,105","15,265","11,455","10,225","13,550","16,210","21,125","20,950","24,835","29,470","26,980","23,990","17,440","11,520","93,460","490,950","47,885","1,735","13,615",,,
RK9,University Hospitals Plymouth NHS Trust,,,,,,"164,835","124,810","78,890","85,940",*,"51,930","46,200","17,960","8,725",65,34,4,2,56,"6,640","3,880","2,105","2,165",530,570,705,800,845,"5,135","6,130","6,185","5,380","4,990","6,685","9,100","10,015","11,670","13,510","17,845","15,050","13,795","10,045","5,950","52,595","323,585","10,810","1,650","1,590",,,
NDA01,Virgin Care Services Ltd (Brook Green),,,,,,370,370,165,205,0,0,0,370,*,,,30,27,82,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,*,*,15,15,30,55,80,80,85,0,"11,090",0,*,0,,,
RBK,Walsall Healthcare NHS Trust,,,,,,"84,660","66,520","35,745","48,910",*,"33,505","18,050","6,730","8,235",51,35,4,1,53,"4,545","1,300",730,745,220,265,390,455,560,"3,780","5,390","4,900","4,345","3,315","4,335","4,295","4,705","4,960","5,775","6,675","6,920","6,995","5,485","3,250","21,200","186,760","12,560",775,"1,290",,,
NTV0S,Walton Community Hospital,,,,,,565,565,220,345,0,100,0,*,460,,,34,20,84,0,0,0,0,0,0,0,0,0,0,0,0,*,0,*,*,10,10,15,40,60,120,145,155,0,"18,930",*,0,*,,,
AXG03,Warminster Community Hospital,,,,,,240,235,95,145,0,65,*,0,175,,,38,29,82,0,0,0,0,0,0,0,0,0,0,*,0,0,*,*,0,*,*,10,25,30,65,60,45,0,"8,890",*,*,*,,,
RWW,Warrington and Halton Hospitals NHS Foundation Trust,,,,,,"89,345","71,870","40,105","49,240",*,"32,950","24,025","7,945","6,955",53,34,4,1,53,"5,050","1,930","1,030","1,080",285,335,435,480,505,"3,195","4,570","4,575","3,775","3,280","4,265","5,105","6,480","5,685","6,430","8,500","7,545","6,830","4,715","2,875","27,330","187,855","13,740","1,010","1,930",,,
RWG,West Hertfordshire Hospitals NHS Trust,,,,,,"123,550","104,245","55,530","68,010",10,"42,170","42,175","8,275","11,620",66,36,4,1,55,"5,950","2,485","1,780","1,470",390,390,405,405,485,"3,510","5,465","6,710","5,925","4,610","5,440","6,685","11,010","7,270","8,300","10,190","10,340","9,725","8,225","5,950","43,180","251,575","14,310","1,325","2,750",,,
NYG32,West Kent Dermatology - Borough Green Medical Practice,,,,,,"1,355","1,355",760,595,0,0,"1,355",0,0,,,,,67,0,0,0,*,*,*,0,*,*,15,15,35,35,35,60,75,100,105,140,190,175,190,115,60,"1,355",0,0,0,0,,,
NYG31,West Kent Dermatology - Sevenoaks Hospital,,,,,,300,300,170,135,0,0,300,0,0,,,,,65,0,0,0,0,0,0,0,0,0,*,10,10,*,20,15,25,20,15,30,35,35,35,35,*,300,0,0,0,0,,,
NVC21,West Midlands Hospital,,,,,,"4,315","4,315","1,655","2,660",*,0,"4,315",0,0,116,22,2,1,57,0,0,0,0,0,0,0,*,10,110,200,190,255,295,445,450,400,375,405,440,360,230,105,30,"3,515","1,465",0,0,0,,,
RGR,West Suffolk NHS Foundation Trust,,,,,,"93,120","64,320","42,590","50,525",*,"27,855","29,055","1,695","5,720",60,38,4,1,60,"3,785","1,795","1,005",950,215,230,285,315,420,"2,350","3,145","3,065","2,865","2,785","3,695","4,525","4,930","5,410","6,995","10,080","9,855","9,815","8,280","6,130","27,630","164,130","6,570",345,"1,125",,,
RYR-X,Western Sussex Hospitals NHS Foundation Trust,,,,,,"170,475","138,615","78,600","91,865",10,"61,245","49,230","16,760","11,380",53,34,4,1,60,"7,685","2,880","1,665","1,495",400,360,425,625,660,"4,375","5,895","6,055","5,685","4,740","6,445","8,605","9,290","10,785","13,400","19,250","18,050","16,670","13,870","10,500","59,395","334,120","21,270","1,350","2,385",,,
RA3,Weston Area Health NHS Trust,,,,,,"41,145","29,980","19,365","21,785",0,"14,810","9,940","4,685",540,47,16,5,2,65,390,425,135,60,10,70,75,95,105,695,"1,005",975,"1,120","1,225","1,870","2,435","2,625","2,835","3,560","5,000","4,415","4,920","4,060","3,000","13,175","89,975","4,240",205,145,,,
NXP17,White Horse Health Centre - Ihg,,,,,,670,670,410,255,0,0,670,0,0,27,27,,,62,0,0,0,0,0,0,0,0,0,*,15,30,35,35,40,60,50,55,65,95,90,50,30,10,670,0,0,0,0,,,
RKE,Whittington Health NHS Trust,,,,,,"55,015","46,635","23,090","31,910",15,"18,335","16,600","6,540","5,155",57,38,4,1,49,"2,125","1,800","1,285",765,180,220,165,210,280,"2,175","3,295","4,175","3,915","2,995","3,075","3,600","3,825","3,085","2,955","3,070","3,095","3,070","2,595","1,605","20,945","107,280","6,300",305,775,,,
NTP16,Will Adams NHS Treatment Centre,,,,,,"5,790","4,500","2,615","3,175",*,0,"4,495",*,0,31,24,3,2,64,0,0,0,0,0,0,0,15,10,110,180,195,235,250,260,325,410,455,580,880,830,635,325,90,"5,765",55,0,0,0,,,
AXG01,Wiltshire Health & Care (Chippenham),,,,,,455,455,235,215,0,10,0,100,345,,,33,21,76,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,15,10,40,85,55,55,60,75,50,55,"13,270",10,45,0,,,
NHW03,Wimbourne Community Hospital (Standard Health),,,,,,60,60,25,35,0,0,0,60,0,,,,,60,0,0,0,0,0,0,0,0,0,*,*,0,*,0,*,10,10,10,*,10,*,*,*,0,60,0,0,0,0,,,
NVC22,Winfield Hospital,,,,,,"3,180","3,180","1,470","1,705",*,0,"3,180",0,0,141,35,3,3,55,0,0,0,0,0,0,0,10,15,110,140,175,180,210,255,345,345,315,315,365,220,120,45,10,"2,515","1,680",0,0,0,,,
RBL,Wirral University Teaching Hospital NHS Foundation Trust,,,,,,"149,050","109,000","66,600","82,450",*,"47,590","42,555","8,285","10,570",53,22,4,1,57,"5,115","2,555","1,410","1,340",335,345,570,650,750,"5,450","6,585","6,975","5,810","5,150","6,680","8,190","10,675","10,085","11,815","14,295","13,445","12,635","10,705","6,925","43,690","292,945","14,475",650,"4,425",,,
NQ719,Wisdom Hospice,,,,,,30,30,15,15,0,15,0,0,15,,,11,10,73,0,0,0,0,0,0,0,0,0,0,0,*,0,*,0,*,*,*,*,*,*,*,*,*,0,345,*,0,0,,,
NTV0O,Woking Community Hospital,,,,,,290,290,115,175,0,35,0,*,250,,,23,18,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,10,10,15,30,55,85,75,0,"6,915",0,*,0,,,
NVC23,Woodland Hospital,,,,,,"8,660","8,660","3,780","4,880",*,0,"8,660",0,0,101,36,2,3,57,0,0,0,0,0,0,0,0,15,220,405,380,515,570,775,855,835,735,865,985,765,490,200,50,"7,400","2,870",0,0,0,,,
NVC40,Woodthorpe Hospital,,,,,,"6,140","6,140","2,845","3,295",0,0,"6,140",0,0,76,21,2,3,58,0,0,0,0,0,0,0,20,35,200,250,295,340,370,460,550,625,545,620,650,560,355,205,55,"5,230","2,165",0,0,0,,,
RWP-X,Worcestershire Acute Hospitals NHS Trust,,,,,,"186,585","155,555","87,230","99,340",15,"52,640","54,565","35,830","12,520",82,36,4,1,60,"7,205","2,870","1,670","1,505",345,360,445,625,785,"4,430","6,480","6,340","5,845","5,285","6,670","9,600","13,150","12,885","16,710","22,210","20,530","18,140","13,765","8,255","82,115","290,065","17,530","1,175","2,620",,,
R1A,Worcestershire Health and Care NHS Trust,,,,,,"7,905","7,385","4,110","3,795",*,"2,085",0,"2,845","2,455",,,18,4,50,0,60,330,715,200,195,210,95,290,435,490,345,165,240,165,235,185,160,240,380,485,705,870,700,0,"132,885",60,30,175,,,
RRF,"Wrightington, Wigan and Leigh NHS Foundation Trust",,,,,,"100,140","86,645","47,380","52,760",*,"34,655","34,450","12,610","4,930",52,36,3,1,57,"2,895","1,105","1,090",985,245,355,420,480,515,"3,000","4,090","4,205","3,915","3,635","5,555","6,700","7,905","7,515","8,950","11,010","10,000","7,855","4,735","2,655","39,350","161,460","11,195","1,070",875,,,
RLQ,Wye Valley NHS Trust,,,,,,"76,125","59,285","36,670","39,450",0,"21,610","27,120","6,615","3,945",80,44,4,1,59,"3,250","1,875","1,055","1,010",260,225,165,225,240,"1,705","2,340","2,295","2,130","1,845","2,725","3,795","4,510","5,130","6,400","8,325","8,200","7,860","6,320","4,080","29,740","130,485","6,670",620,745,,,
RA4,Yeovil District Hospital NHS Foundation Trust,,,,,,"54,725","48,645","23,765","30,960",0,"23,030","13,595","8,860","3,165",60,32,4,1,59,"2,060",780,470,545,240,210,290,260,245,"1,555","2,050","1,960","1,760","1,790","2,485","2,725","3,650","3,670","4,470","5,730","5,360","4,875","4,280","3,135","19,335","109,855","8,755",885,590,,,
RCB,York Teaching Hospital NHS Foundation Trust,,,,,,"213,030","163,380","96,215","116,815",*,"64,425","81,785",15,"17,150",85,41,4,1,58,"7,515","4,415","2,325","2,035",460,565,665,895,"1,215","6,615","8,265","8,105","7,520","6,505","8,505","10,715","13,240","13,880","16,865","23,095","21,440","20,720","15,535","11,110","74,445","351,100","21,205",935,"8,040",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disclosure Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
